document_id,category,title,date,status,file_url,source_note
DOC-EINREICH,Planung,2026.03.04 EINREICHUNG Ingrid Harder.pdf,2026-03-04,vorhanden,,"Grundrisse, Lageplan, Schnitte, Kubatur"
DOC-TECHBERICHT,Planung,2025.03.04 Technischer Bericht.pdf,2025-03-04,vorhanden,,"Klimahaus B, Pellet, PV ca.4kW"
DOC-TAUSEND,Parteien,2026.06.04 Tausendstelltabelle_signed.pdf,2026-06-04,vorhanden,,"W1 466, W2 534"
DOC-KATASTER,Eigentum,Einsichtnahme_Grundkataster__HRDNRD72C49A952P.pdf,2026-03-10,vorhanden,,"B.P.251, 295m2, Ingrid Eigentum 1/1"
DOC-ARCH-001,Techniker,2025-204 Planungsauftrag - Aufstockung Wohnhaus Maxi Hofer - Natz.pdf,2026-03-12,vorhanden,,Architektenhonorar und Leistungsumfang
DOC-PSP-001,Steuer,20260316-Kostenvoranschlag-PSP-Obwexer.pdf,2026-03-16,vorhanden,,Steuerberatung Kosten
DOC-KUE-RESCH,Angebot,Angebot Küche Resch 05.06.2026.pdf,2026-05-22,vorhanden,,Küche W2
DOC-KUE-STAMPFL,Angebot,Angebot Kücheneinrichtung.pdf,2026-03-20,vorhanden,,Küche W2
DOC-PELLET,Bestand,Pelletsanlage_Doc.pdf,2013,vorhanden,,Guntamatic THERM 10 Flex
DOC-ALPERIA,Strom,Strom_Alperia_Doc.pdf,2026,vorhanden,,Alperia Preis und Istkosten
DOC-PVGIS,PV,PVGIS-5_GridConnectedPV_46.754_11.678...pdf,2026-07-09,vorhanden,,PVGIS Ertrag 1kWp
DOC-STATUS-ARCH,Status,Status_Architekt_20260711.pdf,2026-07-11,vorhanden,,"Timeline, Ausschreibungen, Entscheidungen"
DOC-STATUS-BUER,Status,Status_Bürokratie_20260711.pdf,2026-07-11,vorhanden,,"Finanzierung, Foerderung, Notar, EEVE"
